Comment,irony,
科学改造人类,0,6
可 不想 不想 结婚 呢,1,12
可 不想 结婚 呢,1,9
可 不想 结婚 呢 呢,1,11
可 管管 这些 吧,1,9
可 管管 这些 这狠活 吧,1,13
可 结婚 呢,1,6
可 这些 管管 这狠活 吧,1,13
可爱,0,2
可悲,0,2
可悲啊,0,3
可不是 可不是 嘛,1,9
可不是 嘛,1,5
可不是嘛,1,4
可不想结婚呢,1,6
可持续发展,0,5
可耻,0,2
可恶,0,2
可恶至极,0,4
可管管这些这狠活吧,1,9
可恨,0,2
可恨可气,0,4
可恨至极,0,4
可怜,0,2
可怜 这个 太 可怜 了,1,12
可怜的队长,0,5
可怜的父母,0,5
可怜的孩子,0,5
可怜死了吧,0,5
可怜无辜路人了,0,7
可难吃了,0,4
可能,0,2
可能 结果 大不一样 了,1,12
可能 可能 结果 大不一样 了,1,15
可能 了 结果 大不一样 了,1,14
可能 是 铁轨 进去 的,1,12
可能把全糖当做,0,7
可能车厢都是学生,0,8
可能都不太缺,0,6
可能个坤巴,0,5
可能还有以后,0,6
可能会好一点,0,6
可能觉得麻烦吧,0,7
可能结果大不一样了,1,9
可能看得更清楚些,0,8
可能是尺寸不合适,0,8
可能是为了博眼球,0,8
可能是纸张太薄,0,7
可怕,0,2
可怕的网暴,0,5
可是,0,2
可是风大雨大,0,6
可是然后车停那呢,0,8
可叹,1,2
可叹 有何,1,5
可叹 有何 可叹,1,8
可谓颜面扫地啊,0,7
可我觉得,0,4
可我想继续挣钱,0,7
可惜 没用 在 正途 没用 上,1,15
可惜 没用 在 正途 上,1,12
可惜 在 上,1,6
可惜孩子,0,4
可惜了,0,3
可惜了口碑差,0,6
可惜没用在正途上,1,8
可惜判不了死刑,0,7
可想而知 就是 这样 的 家长,1,15
可想而知你就是这样的家长,1,12
可笑,1,2
可笑 可笑,1,5
可笑 了 不是,1,7
可笑 了 可笑 不是,1,10
可笑 了 了 不是,1,9
可笑了不是,1,5
可笑至极,0,4
可刑,0,2
可以 剥削 压榨 其他 民族,1,14
可以 进 故宫,1,7
可以 进 故宫 故宫,1,10
可以 进 进 故宫,1,9
可以 你 将来,1,7
可以 确实 有钱 为所欲为,1,13
可以 压榨 其他 民族,1,11
可以别去了,0,5
可以剥削压榨其他民族,1,10
可以不放啊,0,5
可以不结婚,0,5
可以不拘留,0,5
可以不娶啊,0,5
可以参考,0,4
可以大写特写,0,6
可以等别的瓜了,0,7
可以都来点啊,0,6
可以发发虚假宣传,0,8
可以加收关税,0,6
可以接种几次的,0,7
可以进工厂吗,0,6
可以进故宫,1,5
可以拘留打人者了,0,8
可以看看吗,0,5
可以啦可以啦,0,6
可以离了,0,4
可以理解,0,4
可以理解为沙币,0,7
可以练静蹲,0,5
可以吗,0,3
可以判刑了,0,5
可以省不少钱,0,6
可以适当的是吧,0,7
可以说脱离实际,0,7
可以送,0,3
可以吐槽票价太贵,0,8
可以效仿,0,4
可以续费解除,0,6
可以用复印件呀,0,7
可以这样,0,4
可治疗腹泻,0,5
肯德基疯狂星期四,0,8
肯定 弹药,1,5
肯定 过期 很多 有 弹药,1,13
肯定 有 过期,1,7
肯定 有 很多 过期 弹药,1,13
肯定不是职务犯罪,0,8
肯定的,0,3
肯定回来消费,0,6
肯定拘留,0,4
肯定脾气不好,0,6
肯定是了,0,4
肯定是亲生父母,0,7
肯定是确认他了啊,0,8
肯定是忧郁症,0,6
肯定停,0,3
肯定有很多过期弹药,1,9
肯定有人会出手,0,7
肯定有事,0,4
肯定涨,0,3
坑 生人 一半,1,7
坑的就是我们,0,6
坑太多了,0,4
空缺了一个名额,0,7
空调随她自己开关,0,8
空有设计,0,4
恐怖,0,2
恐怖的是,0,4
恐怕是小三吗,0,6
恐吓威胁,0,4
口舌之快,0,4
口头 建议 都 是 空,1,11
口头 建议 都 是 空 的,1,13
口头 是 空 的,1,8
口头建议都是空的,1,8
口误而已,0,4
扣鸡腿了,0,4
苦瓜炒蛋,0,4
苦了孩子,0,4
胯 拉,1,3
胯 拉 胯,1,5
跨国办案不容易,0,7
快 都 立秋 了,1,8
快 你 快 算了吧,1,9
快点全国推广,0,6
快回家吧,0,4
快进到夯港,0,5
快来避暑,0,4
快来快来,0,4
快来了,0,3
快了,0,2
快两万了,0,4
快去吧,0,3
快抓住这种出生,0,7
快转移,0,3
亏了自己,0,4
垃圾 你 永远都是 活该 穷人,1,15
垃圾学校,0,4
垃圾一家子垃圾,0,7
拉 胯,1,3
拉 拉 胯,1,5
拉扯一下啊,0,5
拉出来遛两步,0,6
拉出来网暴,0,5
拉肚子 肯定 他 了,1,10
拉进群,0,3
拉胯,1,2
拉入黑名单,0,5
拉斯维拉斯,0,5
拉稀寸步难行,0,6
啦 不 睡觉 啦,1,8
啦 就 和解 这,1,8
喇叭上,0,3
辣 至于,1,4
辣个 的 成都 屁 啊,1,11
辣鸡野鸡公司,0,6
来 国家 来 养老,1,9
来 就 说来,1,6
来 来 去 之间,1,8
来 去 之间,1,6
来 之间 去,1,6
来 之间 去 之间,1,9
来查查建筑类国企,0,8
来的都是客,0,5
来搞笑的吗,0,5
来来来,1,3
来来来 来来来,1,7
来来来来,0,4
来钱真快,0,4
来去之间,1,4
来去自如,1,4
来去自如 来去自如,1,9
赖酒,0,2
兰花串,0,3
篮球 唱,1,4
篮球 唱 跳,1,6
篮球 跳 唱 跳,1,8
篮球唱跳,1,4
懒得理你,0,4
懒政,0,2
烂到根了,0,4
烂尾延期,0,4
狼狈为奸罢了,0,6
狼心狗肺的畜牲,0,7
琅琊榜,0,3
浪费行政资源,0,6
浪费粮食,0,4
捞种,0,2
劳动法 参考 请,1,8
劳动法 什么 是 什么 玩意,1,14
劳动法 什么 玩意,1,9
劳动法 是 劳动法 什么 玩意,1,15
劳动法 是 什么 玩意,1,11
劳动法 写入,1,6
劳动法都不能说完全落到实处,1,13
劳动法是什么玩意,1,8
牢底坐穿,0,4
牢饭管饱,0,4
老 螨虫 严惩 畜牲 行为,1,13
老百姓 过 穷苦 日子,1,11
老百姓 过 喜欢 穷苦 日子,1,14
老百姓 上下班 不受 雨 沦,1,14
老百姓 上下班 雨 沦,1,11
老百姓 是 难道 不要,1,11
老百姓 喜欢 过 穷苦 日子,1,14
老百姓 真的 是 厉害,1,11
老百姓付出了多少,0,8
老百姓如何维权,0,7
老百姓上下班不受雨沦,1,10
老百姓喜欢过穷苦日子,1,10
老板激将法,0,5
老版张薇罢了,0,6
老不丝 的,1,5
老不丝 的 的 东西,1,10
老不丝 的 东西,1,8
老不丝 东西,1,6
老不丝的东西,1,6
老出生混账,0,5
老初升就是太多了,0,8
老畜生,0,3
老公在能代表什么,0,8
老坏人必须严惩,0,7
老几 你 心里 真的 没数 吗,1,15
老家只有差的,0,6
老巨婴,1,3
老巨婴 老巨婴,1,7
老看有这种缩写,0,7
老了的时候,0,5
老娘也能爱不留,0,7
老婆 不行 祸害 男德,1,11
老人的孩子呢,0,6
老人都不用上班,0,7
老人活着的时候,0,7
老人即使骂他了,0,7
老人家明事理,0,6
老人兴趣爱好啊,0,7
老人也很生猛啊,0,7
老人意识清醒,0,6
老色笔得抓起来,0,7
老是乱写,0,4
老套路了,0,4
老仙 了 男,1,6
老仙 男 了,1,6
老仙 男 了 了,1,8
老仙男了,1,4
老仙女,0,3
老仙女啊,0,4
老仙女大战小仙女,0,8
老仙女太自信了,0,7
老仙女养成记,0,6
老乡好,0,3
老爷叔没听到么,0,7
老油火锅,0,4
老有所养,0,4
老杂皮,0,3
老贼吃的伟哥,0,6
老子反正不坐,0,6
老总各种阴阳,0,6
佬胡认为,0,4
勒死俩人,0,4
了 ?,1,3
了 把 自己 骗 别,1,10
了 报警 就是 了,1,9
了 彪炳史册,1,6
了 彪炳史册 了,1,8
了 不是,1,4
了 不要 称呼 孩子 以后,1,13
了 扯淡 别,1,6
了 出国,1,4
了 出国 了,1,6
了 出事 怪 别人 ?,1,11
了 的 没完没了,1,8
了 都 快 立秋 了,1,10
了 读 这么 多书,1,9
了 孩子 死 了,1,8
了 呵呵 了,1,6
了 即使 改变 你,1,9
了 急 你,1,5
了 急 女宝,1,6
了 见怪不怪,1,6
了 见怪不怪 了,1,8
了 结果 大不一样 可能,1,12
了 进去 了解 一点,1,10
了 就是 作大死 这,1,10
了 看到 又 能 怎么样,1,12
了 可笑 不是,1,7
了 老仙 男 了,1,8
了 没 新闻 了,1,8
了 脑子 进水 了,1,9
了 你 给 放 出来 把,1,12
了 你 毁 这辈子,1,9
了 你别 干 建议,1,9
了 骗骗 女生 就 得 了,1,13
了 普京 真的 老 不过,1,12
了 然后 就 拉肚子 了,1,12
了 入侵,1,4
了 入侵 了,1,6
了 事太多 仙女,1,8
了 收钱 吧,1,6
了 收钱 了 吧,1,8
了 顺便 也 瘫 脑子,1,11
了 说 这么 说,1,8
了 死 了 得 了,1,9
了 死 笑,1,5
了 酸,1,3
了 他们 都 推荐 哪儿 了,1,14
了 太 便宜 他 了,1,10
了 仙女 无差别 攻击 小 呗,1,15
了 想 多 你,1,7
了 笑 了,1,5
了 辛苦 这个 bot,1,11
了 业主 们 都 拖死 把,1,13
了 一些 评论,1,7
了 赢 又,1,5
了 又 赢 了,1,7
了 早炸,1,4
了 这么 多书,1,7
了 这么 说,1,6
了 这么 无聊 新闻 吗,1,12
了不起,0,3
了解 模式 OEM 一下,1,12
了解了,0,3
雷霆雨露,0,4
类似大坝那种,0,6
累的脸都白了,0,6
累死了哈哈,0,5
冷白色的真丝裤子,0,8
冷血动物啥都吃,0,7
冷知识,0,3
厘准新要求,0,5
离大谱,1,3
离大谱 离大谱,1,7
离婚离不了吗,0,6
离婚两年,0,4
离了还不行,0,5
离谱,0,2
离我家没多远,0,6
离我这儿没多远,0,7
李荣浩,0,3
李下不整冠,0,5
李易峰当年,0,5
里 说 的 比较 含蓄 一点,1,14
里卡多 啊 思密达,1,9
里面要是毒品,0,6
里应外合,0,4
理解,1,2
理解 比较 起来 费劲,1,11
理解 不了,1,5
理解 不了 不了,1,8
理解 起来 比较 费劲,1,11
理解 起来 费劲 比较,1,11
理解 起来 费劲 比较 费劲,1,14
理解吧,0,3
理解不了,1,4
理解起来比较费劲,1,8
理解一下吧,0,5
理解张薇,0,4
理想,1,2
理想 很 很 美好,1,9
理想 很 美好,1,7
理想 理想,1,5
理想很美好,1,5
理应死刑,0,4
理直气壮 很 的 样子,1,11
力度堪比xj,0,6
力气 这 有 骂人,1,9
历史 人类 多少 年,1,10
历史 人类 历史 多少 年,1,13
厉害 老百姓 真的 是 整,1,13
厉害啊,0,3
厉害了,0,3
厉害了我的国,0,6
厉害厉害,0,4
厉害死了,0,4
厉害中国,0,4
立案和解,0,4
立个禁止🚫标志,0,8
立马就给办了,0,6
利益牵涉多少,0,6
戾气冲天,0,4
戾气是真的大,0,6
戾气太盛,0,4
戾气也太重,0,5
荔枝,0,2
荔枝季节过了,0,6
连合同都不看就签,0,8
连开3天,0,4
连老人都骗,0,5
连绵不绝,0,4
连夜上医院,0,5
连幼儿园的也不少,0,8
连致辞都抄,0,5
莲菜以及饺子皮,0,7
联合国各组织就是美帝的厕所,1,13
联合国骗子,0,5
联合国姓,0,4
脸 都 不要 了,1,8
脸 都 了,1,5
脸 都 了 不要 了,1,10
脸 了 不要 都,1,8
脸 脸 都 不要 了,1,10
脸都不让露,0,5
脸都不要了,0,5
脸皮 真厚,1,5
脸皮好厚,0,4
脸皮真厚,1,4
练过踹飞不是问题,0,8
练过也没啥用,0,6
恋爱自由,0,4
良心公司😭,0,6
良心过的去吗,0,6
良心依然还在,0,6
良言 难 劝 难 自绝 人,1,13
良言 难 劝 人,1,8
良言 难 劝 自绝 人,1,11
良言 难 人 劝 自绝 人,1,13
良言 难 自绝 劝 人,1,11
良言难劝自绝人,1,7
凉茶市场的悲哀,0,7
凉快了,0,3
凉透了,0,3
两侧建立围栏吧,0,7
两个宝格丽,0,5
两个都应该判刑,0,7
两个孩子没了妈,0,7
两个可不止,0,5
两个面包一个烧麦,0,8
两个人的伞,0,5
两个小件货,0,5
两个账号相关联,0,7
两个阵营,0,4
两件事情共同处,0,7
两件事是一回事吗,0,8
两人坏死了,0,5
两种热不一样的,0,7
俩人没一个,0,5
量刑是合适的,0,6
量刑适当,0,4
量子就业,0,4
量足保熟那种,0,6
聊天记录也有,0,6
料也足,0,3
料子真的很差嘛,0,7
列巴的原料呢,0,6
列车员干啥去了,0,7
林黛玉,1,3
林黛玉 上车,1,6
林黛玉 上车 林黛玉,1,10
林俊杰啊,0,4
——林韵白,0,5
林子大了什么鸟都有啊,1,10
临期,0,2
临期 的 没 问题 啊,1,11
临期 的 没 问题 啊 啊,1,13
临期 就 不能 吃 了,1,11
临期 食品 就 不能 吃 了,1,14
临期 食品 就 不能 了 吃,1,14
临期 问题 的 没 问题 啊,1,14
临期 问题 没 的 啊,1,11
临期不是过期,0,6
临期的没问题啊,1,7
临期食品就不能吃了,1,9
临期怎么了,0,5
临时出个门的事,0,7
临时工 是 回复,1,8
灵魂发问,0,4
灵活 过于,1,5
灵活 过于 灵活,1,8
灵活就业人员,0,6
凌迟吧,0,3
凌驾于法律之上,0,7
领导 比 你 你 先 知道,1,13
领导 比 你 先 知道,1,11
领导 比 你 知道,1,9
领导 表示,1,5
领导 表示 表示 不知情,1,12
领导 表示 不知情,1,9
领导 你 比 你 先 知道,1,13
领导 先 你 比 知道,1,11
领导比你先知道,1,7
领导表示不知情,1,7
领导不开心,0,5
领导干部,0,4
领多少钱,0,4
另外,0,2
另外 另外,1,5
令人发指,0,4
令人感动,0,4
令人绝望,0,4
令人气愤,0,4
令人失望的官方,0,7
刘天赐,0,3
留给,0,2
留社会察看吗,0,6
留下的不种地干嘛,0,8
留下了两个孩子,0,7
流浪狗会攻击人,0,7
流浪猫没必要处理,0,8
流氓 不会 这么 流氓 ～,1,13
流氓 流氓 套上,1,8
流氓 套上,1,5
流氓老了,0,4
流氓套上,1,4
流脓了吧,0,4
流水4000亿啊,0,8
琉球独立,0,4
六月初去成都,0,6
龙泉的桃很好吃,0,7
龙吐水看不到了,0,7
聋哑瞎,0,3
楼门也升高了,0,6
楼梯,0,2
漏洞百出,0,4
噜 我 妇联 美美 隐身 那,1,14
鲁菜,0,2
陆丰啊,0,3
录取前40,0,5
录像 的 有 可录 的,1,11
录像 的 有 什么 可录 的,1,14
录像 可录 有 什么 的 的,1,14
录像的有什么可录的,1,9
路边脱裤子就尿的多了去了,1,12
路不宽人又多,0,6
路不能走,0,4
路过车太多,0,5
路过过一条小街道,0,8
路人看的话,0,5
路上的朋友,0,5
路上一堆车,0,5
露脸拍很正常啊,0,7
卵 然 并 卵,1,7
乱好笑了,0,4
轮不到打人,0,5
轮得到沙特嘛,0,6
轮胎鼓包,0,4
罗非鱼又叫非洲鲫,0,8
罗云熙长月烬明!,0,8
螺狮粉,0,3
螺蛳粉安排上,0,6
落泪了,0,3
落实 把 这些 落实 啊,1,12
落实 双休,1,5
落实 这些 把 啊,1,9
落实双休,0,4
旅游行业的黑,0,6
旅游就旅游,0,5
旅游资源数不胜数,0,8
旅游自己去不好吗,0,8
屡教 不会 不会 改 的,1,12
屡教 不会 的,1,7
屡教 不会 改,1,7
屡教 不会 改 的,1,9
屡教 改 不会 的,1,9
屡教不会改的,1,6
屡禁不止,0,4
屡禁不止了,0,5
律法何存,0,4
律师 一统天下,1,7
律师函警告,0,5
律师一统天下,1,6
妈的,0,2
妈的没混过去,0,6
妈妈好棒啊,0,5
妈妈是精神病,0,6
妈妈希望女儿幸福,0,8
妈呀,1,2
妈呀 妈呀,1,5
妈耶,0,2
妈祖山东人,0,5
麻烦 问 下,1,6
麻烦按事实讲话,0,7
麻烦关注下,0,5
麻辣烫,0,3
麻辣香锅,0,4
马达西奇公司,0,6
马高乐,0,3
马航的结果呢,0,6
马航多久了,0,5
马克龙得罪了美国,0,8
马拉多纳,0,4
马路边扔的,0,5
马上告他侵犯隐私,0,8
马上就可以安利,0,7
马神又在放大饼了,0,8
马斯克大52岁,0,7
骂；买的多,0,5
骂了全部被打失聪,0,8
骂你了,0,3
骂人也是犯法的哦,0,8
骂啥,0,2
骂死他们,0,4
吗 并 期待 分一杯羹 的 吗,1,15
吗 不 清楚 不是,1,9
吗 不得 扣钱 那 🙃,1,12
吗 不去 不 就行了 吗,1,12
吗 感动 你 了 吗,1,10
吗 还有 正常人 这国,1,11
吗 具体措施 有,1,8
吗 你 放 门口 挡住 水 把,1,15
吗 同意 资本家,1,8
吗 幸福 您,1,6
吗 要 结婚 不可 非,1,11
吗 知道 这事 群众,1,10
吗 指桑骂槐,1,6
嘛 不 孝顺 的 这么,1,11
嘛 工农 广大,1,7
嘛 记者,1,4
嘛 记者 嘛,1,6
嘛 可不是,1,5
埋大树底下,0,5
买90平米房子,0,7
买别家的呗,0,5
买不起就别买了啊,0,8
买的人不在乎钱,0,7
买机票,0,3
买了门票,0,4
买流量更是无底洞,0,8
买骂人,0,3
迈出第一步,0,5
麦当劳,0,3
麦当劳的多笋卷,0,7
卖 了 去 走,1,7
卖的价格很低,0,6
卖肉的,0,3
卖相不好看,0,5
卖淫,0,2
满满的求生欲,0,6
满意离开,0,4
蔓延的这么快,0,6
慢过五十年,0,5
慢就业,0,3
慢就业可以,0,5
慢慢往北吧,0,5
忙 着 斯 大公 呢,1,10
盲猜后面还有一位,0,8
盲目跟风,0,4
猫传腹,0,3
猫叫了个咪,0,5
猫咪会被他打死,0,7
猫奴,1,2
猫奴 大都如此,1,7
猫奴 猫奴 大都如此,1,10
猫奴大都如此,1,6
猫奴勿要多言,0,6
毛病 惯,1,4
毛病 惯 毛病,1,7
毛委员,0,3
毛子在干啥啊,0,6
茅台是榜一大哥的,0,8
冒充警察才5天?,0,8
貌似没毛病吧,0,6
么 的 飞进去,1,7
么 这特 是 为啥,1,9
没 出来,1,4
没 出来 看,1,6
没 电,1,3
没 懂,1,3
没 懂 你,1,5
没 和 果断 了,1,8
没 看 出来,1,6
没 看 看 出来,1,8
没 了 志气 和 果断 那种,1,14
没 毛病,1,4
没 毛病 吧,1,6
没 没 电,1,5
没 没 毛病,1,6
没 那种 志气 和 果断 了,1,14
没 你 懂,1,5
没 你 没 懂,1,7
没 啥,1,3
没 所以 电,1,6
没 新闻 可以 报 天气预报,1,14
没 新闻 了,1,6
没 新闻 了 了,1,8
没 有意思 没,1,7
没 这 没 毛病 吧,1,10
没 志气 了,1,6
没办法,0,3
没被指使,0,4
没车,0,2
没车的飘过,0,5
没吃的,0,3
没出国是真没必要,0,8
没出事会继续堆,0,7
没出事之前,0,5
没处罚,0,3
没错,0,2
没道理啊,0,4
没得说,0,3
没的发可以不发,0,7
没的洗,0,3
没地震没人拆它,0,7
没点关系,0,4
没电,1,2
没感觉多大雨啊,0,7
没给小费,0,4
没公摊才合适,0,6
没计入总成绩,0,6
没家教的小孩,0,6
没嫁妆要什么彩礼,0,8
没教养,0,3
没进化完全,0,5
没劲,0,2
没酒,0,2
没看,0,2
没看不知道,0,5
没看出来,1,4
没看懂,0,3
没看新闻么,0,5
没考上,0,3
没捞到钱难受,0,6
没脸没皮的还怕这,0,8
没流量,0,3
没毛病,0,3
没那么难,0,4
没那种志气和果断了,1,9
没脑子,0,3
没你懂,1,3
没女人,0,3
没偶像谁爱塌不塌,0,8
没拍,0,2
没判死刑立即执行,0,8
没钱,0,2
没钱别娶,0,4
没钱也遭罪受,0,6
没强制,0,3
没让你堕胎,0,5
没让你怀,0,4
没让女儿考这个,0,7
没热度啊,0,4
没人 都 家里 的 吗,1,11
没人管吗,0,4
没人生那你就无限续航呗,1,11
没人同意,0,4
没人喂它,0,4
没啥不可看的,0,6
没啥好说的了,0,6
没啥好质疑的了,0,7
没啥特别的,0,5
没啥问题,0,4
没啥影响,0,4
没什么 好 的 说,1,9
没什么 好 没什么 说 的,1,13
没什么 好 说 的,1,9
没什么好说的,1,6
没什么合不合理,0,7
没什么意义,0,5
没事,0,2
没事 没事,1,5
没事干,1,3
没事干 小编 没事干,1,10
没事就好,0,4
没事找事,1,4
没事找事 没事找事,1,9
没事找事 是 多,1,8
没事找事 是 有 多 闲,1,12
没事找事 是 有 多 闲 闲,1,14
没事找事是有多闲,1,8
没说不能有啊,0,6
没谈成,0,3
没偷工减料的事,0,7
没头没尾的,0,5
没图片不要乱剪辑,0,8
没完没了,1,4
没完没了 的 了,1,8
没完没了 的 了 了,1,10
没完没了的了,1,6
没胃口了,0,4
没问题,0,3
没下雨,0,3
没想到 啊,1,5
没想到 就 这样,1,8
没想到 年轻 就 就 这样,1,13
没想到 年轻 就 这样,1,11
没想到 年轻 就 这样 这样,1,14
没想到 年轻 这样 就,1,11
没想到 现在 女性 卖 的,1,13
没想到 这样,1,6
没想到啊,1,4
没想到狗不理,0,6
没想到火了,0,5
没想到年轻就这样,1,8
没想到现在女性还是卖的,1,11
没想到这么大水,0,7
没新闻可以报报天气预报,1,11
没新闻可以不报,0,7
没新闻了,1,4
没新闻硬搞新闻,0,7
没学会走就想学跑,0,8
没一点女人样儿,0,7
没以前辛苦了,0,6
没意思,0,3
没意思～,0,4
没用,0,2
没用 的 东西,1,7
没用 了,1,4
没用 奶 了,1,6
没用 奶 没用 了,1,9
没用 在 正途,1,7
没用 整些 没用 的 东西,1,13
没用的,0,3
没有,0,2
没有 吧 中国 发 邀请函 给,1,15
没有 不发 可以 新闻,1,11
没有 的 进去 卵用 男 啊,1,14
没有 给 中国 发 邀请函 吧,1,15
没有 就是 看不见,1,9
没有 可以 新闻 不发,1,11
没有 可以 新闻 可以 不发,1,14
没有 没有 上限,1,8
没有 没有 心理学家,1,10
没有 女人 不转 地球 了 吗,1,15
没有 女人 不转 了,1,10
没有 女人 地球 不转 了 吗,1,15
没有 女人 地球 不转 吗 了,1,15
没有 上限,1,5
没有 社会学家,1,7
没有 社会学家 社会学家,1,12
没有 双休 和 假,1,9
没有 双休 和 年 和 假,1,13
没有 双休 和 年 假,1,11
没有 谁,1,4
没有 谁 没有,1,7
没有 网络 就 了,1,9
没有 网络 可以,1,8
没有 心理学家,1,7
没有 心理学家 心理学家,1,12
没有 新闻 可以,1,8
没有 新闻 可以 不发,1,11
没有 新闻 可以 没有 不发,1,14
没有 中国 发 吧,1,9
没有4万,0,4
没有5万以下,0,6
没有被打倒,0,5
没有诚信,0,4
没有电话没有传呼,0,8
没有给中国发邀请函吧,1,10
没有公摊,0,4
没有公摊最合理,0,7
没有好处,0,4
没有后门,0,4
没有截肢,0,4
没有敬畏之心,0,6
没有剧情,0,4
没有可能,0,4
没有可以发的了,0,7
没有练过,0,4
没有没有的选项,0,7
没有你想要的报告,0,8
没有弄民工,0,5
没有女人地球不转了吗,1,10
没有偶像,0,4
没有人员伤亡,0,6
没有认真对待,0,6
没有任何机会,0,6
没有任何警告,0,6
没有任何正当理由,0,8
没有上限,1,4
没有社会学家,1,6
没有申请临床用血,0,8
没有什么“同路”,0,8
没有什么是不信的,0,8
没有是最好的呀,0,7
没有双休和年假,1,7
没有谈不拢的生意,0,8
没有投标要用原件,0,8
没有网络就可以不作为了,1,11
没有下雨,0,4
没有心理学家,1,6
没有新闻可以不报,0,8
没有新闻可以不发,0,8
没有熊孩子,0,5
没有责任人处理吗,0,8
没有作用啊,0,5
没娱乐,0,3
没站 没站 尿位,1,8
没站 尿位,1,5
没站 尿位 尿位,1,8
没站尿位,1,4
没章,0,2
梅艳芳,0,3
媒体带节奏的嫌疑,0,8
每次2分钟,0,5
每次看到这种公告,0,8
每次排队好长,0,6
每次扫黄都有它,0,7
每次往地铁去,0,6
每逢双日支持老胡,0,8
每个城市比比皆是,0,8
每个人都不容易,0,7
每天10次,0,5
每天一例,0,4
每小时0.6元,0,7
美观性不错,0,5
美国,1,2
美国 全在 责任,1,8
美国 屠杀 阿富汗,1,9
美国 屠杀 屠杀 阿富汗,1,12
美国 网军 加大力度 的 黑,1,14
美国 网军 加大力度 黑,1,12
美国 这 是 送 好 了,1,12
美国 这 是 送 好 礼 了,1,14
美国 这 是 送 礼 了,1,12
美国 这 送 是 好 礼 了,1,14
美国：不是我干的,0,8
美国不得好死,0,6
美国不该提供呀,0,7
美国队长呢,0,5
美国多文盲吗,0,6
美国发金条了,0,6
美国很坏,0,4
美国佬作死佬,0,6
美国人脱发,0,5
美国通讯录比较多,0,8
美国屠杀阿富汗,1,7
美国网军这样加大力度的黑,1,12
美国也快跟上,0,6
美国咋就没这些人,0,8
美国这是送好礼了,1,8
美好的年纪,0,5
美好的女孩,0,5
美好的未来,0,5
美丽 的 风景线,1,8
美丽 的 美丽 风景线,1,11
美丽 美丽 的 风景线,1,11
美丽的风景线,0,6
美丽风景线,0,5
美媒加“知名人士”听着就不靠谱,1,15
美容也毫无意义了,0,8
美食博主,0,4
妹 懂 你 公众,1,8
门槛是名校硕士,0,7
闷在车厢里,0,5
萌妹生日快乐,0,6
蒙太奇式澄清,0,6
梦回小时候,0,5
米轨火车,0,4
米国才是种族灭绝,0,8
米价没有那么贵,0,7
米线,0,2
秘密都被泄了,0,6
免得活活摩擦而死,0,8
免得再害人,0,5
免得着凉,0,4
免费了,0,3
免去 多项 职务 之后 还有,1,14
免去多项职务之后还有职务不,1,13
免职 ＝ ＝ 带薪休假,1,11
免职 ＝ 带薪休假,1,9
免职 不是,1,5
免职 不是 处分,1,8
免职 处分,1,5
免职 处分 不是 处分,1,11
免职 带薪休假,1,7
免职 免职 不是 处分,1,11
免职...,0,5
免职＝带薪休假,1,7
免职不是处分,1,6
缅北都没它坏,0,6
缅甸不可能同意啊,0,8
缅甸管不了,0,5
缅甸太近了,0,5
缅怀同学,0,4
面对大问题,0,5
面对小问题,0,5
面对这个问题,0,6
藐视全体吃瓜人,0,7
妙瓦底,0,3
灭绝 吧,1,4
民粹,0,2
民企能生存吗,0,6
民事诉讼得到谅解,0,8
名利场,0,3
名人伟人,0,4
明白了吗,0,4
明白人,0,3
明明就是以貌取人,0,8
明明是偶像剧,0,6
明明是骗子太恶毒,0,8
明明是资本有罪论,0,8
明明已经热秃噜了,0,8
明确监护责任关系,0,8
明天 让 各个单位 个 试试,1,14
明天法国国庆,0,6
明天该去放生了,0,7
明天就是你了,0,6
明天你让各个单位停工个试试,1,13
明天早起,0,4
明显 又 是 断章取义 新闻,1,14
明显感觉得出来,0,7
明显是剪辑的视频,0,8
明早起床看决赛,0,7
明知山有虎,0,5
鸣沙山那个正门口,0,8
命大遇见了活菩萨,0,8
命都没了,0,4
命真大,0,3
摸黑绣花,0,4
魔 拳打 打 怔,1,8
魔法对轰,0,4
魔法对决,0,4
魔法攻击魔法,0,6
魔鬼里面的天使,0,7
魔幻 大国,1,5
魔幻 魔幻 大国,1,8
魔幻大国,1,4
抹茶红豆,0,4
莫恶意揣测和中伤,0,8
莫非 爱 你 吃 过期 食品,1,14
莫非 吃 爱 你 过期 食品,1,14
莫非 你 爱 吃 过期 食品,1,14
莫非你爱吃过期食品,1,9
莫教人分妻,0,5
莫名其妙被删掉,0,7
莫名其妙的那种,0,7
莫伸手伸手必被捉,0,8
莫斯科有点拉,0,6
默哀,0,2
牟毅当行长的时候,0,8
某些 国际 就是 组织 菜市场,1,15
某些 国际 组织 就是 菜市场,1,15
某些 就是 组织 国际 菜市场,1,15
某些国际组织就是菜市场,1,11
母爱真的太伟大啦,0,8
母爱最伟大,0,5
母亲被侮辱,0,5
母亲无私的爱,0,6
母亲有精神问题,0,7
亩产 过 亩产 亿,1,9
亩产 过 亿,1,6
亩产 亿,1,4
亩产过亿,1,4
目前,0,2
目前还没,0,4
目前就雨不大呀,0,7
拿 办事,1,4
拿 继续 高薪,1,7
拿 钱 办事,1,6
拿 钱 钱 办事,1,8
拿不走的,0,4
拿扶贫钱去投资,0,7
拿钱办事,1,4
拿钱给我花,0,5
拿着手机找路,0,6
